"",startCity,lastCity,Company,AirlineCode,StartDrome,ArriveDrome,StartTime,ArriveTime,Mode,AirlineStop,Week
"",BJS,CTU,四川航空股份有限公司,3U8884,首都国际机场,双流国际机场,13:10,15:50,320,0,123456日
"",BJS,CTU,中国国际航空公司,CA4108,首都国际机场,双流国际机场,14:00,16:45,757,0,123456日
"",BJS,CTU,中国国际航空公司,CA4116,首都国际机场,双流国际机场,15:00,17:45,321,0,123456日
"",BJS,CTU,四川航空股份有限公司,3U8886,首都国际机场,双流国际机场,15:25,18:05,321,0,123456日
"",BJS,CTU,中国国际航空公司,CA945,首都国际机场,双流国际机场,15:30,18:10,757,0,14
"",BJS,CTU,上海航空公司,FM2283,南苑机场,双流国际机场,15:55,18:20,738,0,123456日
"",BJS,CTU,中国南方航空(集团)公司,CZ3903,首都国际机场,双流国际机场,16:00,18:35,321,0,123456日
"",BJS,CTU,中国国际航空公司,CA1407,首都国际机场,双流国际机场,16:00,18:45,JET,0,123456日
"",BJS,CTU,中国国际航空公司,CA1425,首都国际机场,双流国际机场,17:00,19:30,JET,0,1236日
"",BJS,CTU,中国国际航空公司,CA4188,首都国际机场,双流国际机场,17:50,22:00,319,0,135日
"",BJS,CTU,中国国际航空公司,CA4104,首都国际机场,双流国际机场,18:00,20:45,JET,0,123456日
"",BJS,CTU,四川航空股份有限公司,3U8888,首都国际机场,双流国际机场,18:10,20:50,320,0,123456日
"",BJS,CTU,中国国际航空公司,CA4110,首都国际机场,双流国际机场,19:00,21:45,321,0,123456日
"",BJS,CTU,四川航空股份有限公司,3U8894,首都国际机场,双流国际机场,19:10,21:50,319,0,123456日
"",BJS,CTU,中国国际航空公司,CA4106,首都国际机场,双流国际机场,19:30,22:15,JET,0,123456日
"",BJS,CTU,中国国际航空公司,CA4120,首都国际机场,双流国际机场,20:00,22:45,757,0,123456日
"",BJS,CTU,四川航空股份有限公司,3U8890,首都国际机场,双流国际机场,20:10,23:00,321,0,123456日
"",BJS,CTU,四川航空股份有限公司,3U8892,首都国际机场,双流国际机场,22:20,01:00,321,0,123456日
"",BJS,CZX,上海航空公司,FM2925,南苑机场,奔牛机场,08:00,09:40,738,0,123456日
"",BJS,CZX,中国国际航空公司,CA1863,首都国际机场,奔牛机场,08:15,10:00,733,0,123456日
